city,days,cases
BIRKENHEAD,14,16
BIRKENHEAD,28,14
BIRKENHEAD,42,25
BIRKENHEAD,56,50
BIRKENHEAD,70,43
BIRKENHEAD,84,45
BIRKENHEAD,98,44
BIRKENHEAD,112,40
BIRKENHEAD,126,65
BIRKENHEAD,140,50
BIRKENHEAD,154,21
BIRKENHEAD,168,30
BIRKENHEAD,182,57
BIRKENHEAD,196,22
BIRKENHEAD,210,62
BIRKENHEAD,224,66
BIRKENHEAD,238,44
BIRKENHEAD,252,13
BIRKENHEAD,266,20
BIRKENHEAD,280,5
BIRKENHEAD,294,1
BIRKENHEAD,308,1
BIRKENHEAD,322,0
BIRKENHEAD,336,7
BIRKENHEAD,350,2
BIRKENHEAD,364,3
BIRKENHEAD,378,4
BIRKENHEAD,392,6
BIRKENHEAD,406,11
BIRKENHEAD,420,8
BIRKENHEAD,434,29
BIRKENHEAD,448,52
BIRKENHEAD,462,154
BIRKENHEAD,476,169
BIRKENHEAD,490,138
BIRKENHEAD,504,86
BIRKENHEAD,518,160
BIRKENHEAD,532,173
BIRKENHEAD,546,159
BIRKENHEAD,560,158
BIRKENHEAD,574,148
BIRKENHEAD,588,67
BIRKENHEAD,602,72
BIRKENHEAD,616,27
BIRKENHEAD,630,9
BIRKENHEAD,644,9
BIRKENHEAD,658,6
BIRKENHEAD,672,2
BIRKENHEAD,686,6
BIRKENHEAD,700,2
BIRKENHEAD,714,2
BIRKENHEAD,728,16
BIRKENHEAD,742,20
BIRKENHEAD,756,4
BIRKENHEAD,770,20
BIRKENHEAD,784,18
BIRKENHEAD,798,34
BIRKENHEAD,812,33
BIRKENHEAD,826,55
BIRKENHEAD,840,36
BIRKENHEAD,854,69
BIRKENHEAD,868,110
BIRKENHEAD,882,158
BIRKENHEAD,896,257
BIRKENHEAD,910,216
BIRKENHEAD,924,156
BIRKENHEAD,938,122
BIRKENHEAD,952,57
BIRKENHEAD,966,34
BIRKENHEAD,980,25
BIRKENHEAD,994,17
BIRKENHEAD,1008,18
BIRKENHEAD,1022,13
BIRKENHEAD,1036,26
BIRKENHEAD,1050,36
BIRKENHEAD,1064,27
BIRKENHEAD,1078,32
BIRKENHEAD,1092,50
BIRKENHEAD,1106,59
BIRKENHEAD,1120,96
BIRKENHEAD,1134,52
BIRKENHEAD,1148,102
BIRKENHEAD,1162,189
BIRKENHEAD,1176,207
BIRKENHEAD,1190,162
BIRKENHEAD,1204,113
BIRKENHEAD,1218,122
BIRKENHEAD,1232,80
BIRKENHEAD,1246,68
BIRKENHEAD,1260,47
BIRKENHEAD,1274,37
BIRKENHEAD,1288,27
BIRKENHEAD,1302,24
BIRKENHEAD,1316,24
BIRKENHEAD,1330,13
BIRKENHEAD,1344,9
BIRKENHEAD,1358,1
BIRKENHEAD,1372,1
BIRKENHEAD,1386,11
BIRKENHEAD,1400,6
BIRKENHEAD,1414,6
BIRKENHEAD,1428,2
BIRKENHEAD,1442,2
BIRKENHEAD,1456,3
BIRKENHEAD,1470,3
BIRKENHEAD,1484,9
BIRKENHEAD,1498,10
BIRKENHEAD,1512,4
BIRKENHEAD,1526,25
BIRKENHEAD,1540,20
BIRKENHEAD,1554,25
BIRKENHEAD,1568,38
BIRKENHEAD,1582,30
BIRKENHEAD,1596,78
BIRKENHEAD,1610,101
